file_path,predicted_label
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201103201314.wav,3
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201101152256.wav,3
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201102081033.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106171155.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/20110501548.wav,3
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106111419.wav,2
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106191034.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106130440.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201101241434.wav,3
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201104012144.wav,1
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201108011111.wav,3
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201012172010.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201108011117.wav,2
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106031556.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201108222228.wav,2
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201101220549.wav,3
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201103200518.wav,1
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201102081045.wav,1
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/2011040239.wav,1
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201101061552.wav,1
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201101051105.wav,2
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201108222222.wav,2
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201108222257.wav,2
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201105011546.wav,3
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201103232251.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106010807.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106061104.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201108222254.wav,2
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106212102.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201108222225.wav,3
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106061215.wav,1
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106120928.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201105031730.wav,1
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201103241336.wav,3
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201102200848.wav,2
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201103170122.wav,1
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201101110659.wav,3
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201108222244.wav,2
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201108011113.wav,2
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106211725.wav,2
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106150614.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106030607.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201103140236.wav,1
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201101091156.wav,1
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106170857.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201108222247.wav,2
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201103011036.wav,3
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106100606.wav,0
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201108011116.wav,3
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201108222241.wav,3
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201108222234.wav,2
/kaggle/input/heart-sound-detection/Heart Audio Dataset/Set A/Aunlabelledtest/201106040930.wav,0
